ar_doi;au_id;au_in_article;au_byline;au_position;au_h-index;au_c01;au_c02;au_c03;au_c04;au_c05;au_c06;au_c07;au_c08;au_c09;au_c10;
10.1001/jama.2013.333;7101902574;11;0;1;161;1;0,090909091;1;0;1;1;1;0;0,090909091;1;
10.1001/jama.2010.1427;35973003700;8;1;8;13;0,333333333;0,333333333;0,125;1;0,333333333;1;1;0;0,125;1;
10.1001/jama.2013.282437;7101902574;7;1;7;161;0,333333333;0,166666667;0,5;0;1;1;1;0;0,142857143;1;
10.1001/jama.2009.1320;7101804569;5;0;1;51;0,25;0,5;0,25;0,5;0;1;1;0;0,5;1;
10.1001/jama.2012.216476;7101902574;12;1;12;161;0,25;0,083333333;0,5;0;1;1;1;0;0,083333333;1;
10.1001/jama.2010.1568;7201760186;4;0;1;65;0,5;0,333333333;0,25;0;1;1;1;0;0,333333333;0,5;
10.1001/jama.2009.637;6507554123;5;0;1;12;0,25;0,2;1;0,5;0,25;0,5;1;0;0,2;1;
10.1001/jama.299.7.769;8581754100;4;0;1;27;1;0,25;0,5;1;0,333333333;0,5;0,5;0;0,5;0,25;
10.1001/jama.2012.36515;36914028900;4;0;1;8;0,25;0,25;1;1;0;1;0;0;0,25;1;
10.1001/jama.2012.265;7005118000;10;0;1;72;0,2;0,1;1;0,333333333;1;0;1;0;0,1;1;
10.1001/jama.2013.1948;7004752697;4;1;4;34;0,333333333;0,25;0,5;0,5;1;1;0,333333333;0;0,25;0,5;
10.1001/jama.2010.1297;55174780200;4;0;1;27;0,25;0;1;1;1;0;0,333333333;0;1;0;
10.1001/jama.2011.878;34668411900;6;0;1;82;0,5;0,166666667;0,5;0,25;0,5;0,5;1;0;0,166666667;1;
10.1001/jama.2011.1615;14016836200;5;0;1;24;0,5;0,2;1;1;0;1;0;0;0,333333333;0,5;
10.1001/jama.2010.1664;7005465644;8;0;1;36;0,5;0,125;1;1;0,5;0;1;0;0,142857143;0,2;
10.1001/jama.2010.1572;7402389594;6;0;1;53;0,2;0,2;0,333333333;0,2;1;0,333333333;1;0;0,166666667;1;
10.1001/jama.2012.14126;35739038200;4;0;1;11;0,333333333;0,25;0,5;0,25;0,5;1;1;0;0,25;0,333333333;
10.1001/jama.300.8.915;6603905371;8;0;1;18;0,5;0,125;1;0,5;0,5;0,333333333;1;0;0,2;0,25;
10.1001/jama.2014.6499;8264466400;5;0;1;19;0,25;0,2;0,5;0,2;1;1;1;0,25;0;0;
10.1001/jama.2009.1242;7006328159;5;1;5;78;0,333333333;0,2;0,333333333;0,5;1;0,5;1;0;0,2;0,333333333;
10.1001/jama.2013.284985;7801348755;6;0;1;10;0,25;0,25;0,166666667;0,25;1;0,25;1;0;0,2;1;
10.1001/jama.2013.8638;7006601739;6;1;6;89;0,25;0,2;0,5;0,25;1;1;0;0;0,166666667;1;
10.1001/jama.300.14.1665;7007048974;11;1;11;69;0,142857143;0,090909091;0,333333333;0,2;1;0,5;1;0;0,090909091;1;
10.1001/jama.2013.7103;7201721429;4;1;4;70;0,5;0,25;0;0;1;1;0,333333333;0;0,25;1;
10.1001/jama.2013.282116;7103005793;4;0;1;25;1;0,333333333;0,333333333;0,333333333;1;0;1;0;0;0,333333333;
10.1001/jama.2013.280490;7006039762;4;1;4;53;0,5;0,5;0,25;0,333333333;0,5;0,5;1;0;0,25;0,5;
10.1001/jama.2014.10921;7402021753;4;0;1;46;0,333333333;0;1;0,25;1;1;0,5;0,25;0;0;
